x,y
0,2.0
1,2.0
2,2.0
3,2.0
4,2.0
5,2.0
6,2.0
7,2.0
8,2.0
9,6.0
10,6.0
11,8.0
12,8.0
13,8.0
14,10.0
15,10.0
16,13.0
17,13.0
18,14.0
19,15.0
20,15.0
21,16.0
22,16.0
23,16.0
24,16.0
25,16.0
26,16.0
27,16.0
28,16.0
29,16.0
30,16.0
31,16.0
32,16.0
33,16.0
34,16.0
35,16.0
36,16.0
37,16.0
38,16.0
39,16.0
40,16.0
41,16.0
42,16.0
43,16.0
44,18.0
45,30.0
46,30.0
47,31.0
48,38.0
49,39.0
50,47.0
51,53.0
52,56.0
53,61.0
54,66.0
55,75.0
56,85.0
57,91.0
58,94.0
59,113.0
60,123.0
61,134.0
62,141.0
63,153.0
64,163.0
65,174.0
66,188.0
67,203.0
68,212.0
69,218.0
70,233.0
71,237.0
72,240.0
73,241.0
74,245.0
75,249.0
76,251.0
77,255.0
78,257.0
79,258.0
80,262.0
81,265.0
82,266.0
83,267.0
84,268.0
85,268.0
86,268.0
87,268.0
88,268.0
89,268.0
90,268.0
91,268.0
92,270.0
93,270.0
94,270.0
95,270.0
96,270.0
97,270.0
98,270.0
99,270.0
100,270.0
101,271.0
102,271.0
103,271.0
104,271.0
105,288.0
106,288.0
107,288.0
108,288.0
109,288.0
110,288.0
111,288.0
112,312.0
113,314.0
114,318.0
115,320.0
116,324.0
117,324.0
118,324.0
119,324.0
120,324.0
121,325.0
122,325.0
123,326.0
124,327.0
125,327.0
126,327.0
127,328.0
128,328.0
129,328.0
130,328.0
